mode,description,start,end,detections,reasons
1,Exact Clone (WPA2-PSK/CCMP),2025-05-01 03:42:37,2025-05-01 03:45:37,15,"{'Channel Mismatch (Expected 1)': 4, 'RSSI Spread Anomaly (StDev:3.2 Rng:15dB)': 2, 'Beacon-Rate Δ 36% > 25.0%; Current rate: 12.83': 1, 'RSSI Spread Anomaly (StDev:2.8 Rng:13dB)': 1, 'RSSI Spread Anomaly (StDev:2.7 Rng:13dB)': 1, 'RSSI Spread Anomaly (StDev:3.7 Rng:15dB)': 1, 'RSSI Spread Anomaly (StDev:3.2 Rng:16dB)': 1, 'RSSI Spread Anomaly (StDev:3.6 Rng:16dB)': 1, 'Beacon-Rate Δ 289% > 25.0%; Current rate: 36.83': 1, 'RSSI Spread Anomaly (StDev:4.9 Rng:18dB)': 1, 'RSSI Spread Anomaly (StDev:3.4 Rng:16dB)': 1}"
2,BSSID Mismatch,2025-05-01 03:46:37,2025-05-01 03:49:38,8,{'Different BSSID (Potential Evil Twin)': 8}
3,Channel Mismatch,2025-05-01 03:50:38,2025-05-01 03:53:38,88,"{'Channel Mismatch (Expected 1)': 74, 'RSSI Spread Anomaly (StDev:3.6 Rng:17dB)': 3, 'RSSI Spread Anomaly (StDev:3.4 Rng:16dB)': 2, 'Beacon-Rate Δ 90% > 25.0%; Current rate: 0.94': 1, 'RSSI Spread Anomaly (StDev:7.8 Rng:17dB)': 1, 'RSSI Spread Anomaly (StDev:4.0 Rng:18dB)': 1, 'Beacon-Rate Δ 201% > 25.0%; Current rate: 28.50': 1, 'RSSI Spread Anomaly (StDev:3.5 Rng:17dB)': 1, 'RSSI Spread Anomaly (StDev:3.3 Rng:17dB)': 1, 'Beacon-Rate Δ 129% > 25.0%; Current rate: 21.65': 1, 'RSSI Spread Anomaly (StDev:3.3 Rng:15dB)': 1, 'RSSI Spread Anomaly (StDev:3.0 Rng:16dB)': 1}"
4,Auth Mismatch (TKIP),2025-05-01 03:54:38,2025-05-01 03:57:38,176,"{'Auth Mismatch (Got WPA2-PSK/TKIP, Exp WPA2-PSK/CCMP)': 165, 'RSSI Spread Anomaly (StDev:3.5 Rng:16dB)': 2, 'RSSI Spread Anomaly (StDev:3.8 Rng:17dB)': 1, 'RSSI Spread Anomaly (StDev:3.6 Rng:17dB)': 1, 'RSSI Spread Anomaly (StDev:4.5 Rng:16dB)': 1, 'Beacon-Rate Δ 240% > 25.0%; Current rate: 32.16': 1, 'RSSI Spread Anomaly (StDev:3.3 Rng:16dB)': 1, 'RSSI Spread Anomaly (StDev:3.3 Rng:15dB)': 1, 'RSSI Spread Anomaly (StDev:6.7 Rng:16dB)': 1, 'RSSI Spread Anomaly (StDev:3.6 Rng:16dB)': 1, 'RSSI Spread Anomaly (StDev:4.6 Rng:17dB)': 1}"
5,WEP Evil Twin,2025-05-01 03:58:38,2025-05-01 04:01:38,9,{'Different BSSID (Potential Evil Twin)': 9}
6,OPEN Evil Twin,2025-05-01 04:02:38,2025-05-01 04:05:38,8,{'Different BSSID (Potential Evil Twin)': 8}
